
2023/12/11 (22:45:07) | ===> btop++ v.1.2.13
2023/12/11 (22:45:07) | ERROR: Stall in Runner thread, restarting!

2023/12/27 (00:09:09) | ===> btop++ v.1.2.13
2023/12/27 (00:09:09) | ERROR: Stall in Runner thread, restarting!

2024/01/07 (17:14:00) | ===> btop++ v.1.2.13
2024/01/07 (17:14:00) | ERROR: Stall in Runner thread, restarting!

2024/01/08 (01:28:05) | ===> btop++ v.1.2.13
2024/01/08 (01:28:05) | ERROR: Stall in Runner thread, restarting!

2024/03/21 (14:20:21) | ===> btop++ v.1.3.2
2024/03/21 (14:20:21) | ERROR: Exception during Config::unlock() : unordered_map::at
